codeIataAirport,codeIcaoAirport,Country/Region,Province/State
BJD,BIBK,Iceland,
BJE,,Sudan,
BJF,ENBS,Norway,
BJG,,Indonesia,
BJH,VNBG,Nepal,
BJK,WAPK,Indonesia,
BJL,GBYD,Gambia,
BJM,HBBA,Burundi,
BJN,,Mozambique,
BJO,SLBJ,Bolivia,
BJP,SBBP,Brazil,
BJQ,,Oman,
BJR,HABD,Ethiopia,
BJT,,Sri Lanka,
BJU,VNBR,Nepal,
BJV,LTFE,Turkey,
BJW,WATB,Indonesia,
BJX,MMLO,Mexico,
BJY,LYBT,Serbia,
BJZ,LEBZ,Spain,
BKB,VIBK,India,
BKI,WBKK,Malaysia,
BKJ,GUOK,Guinea,
BKK,VTBS,Thailand,
BKM,WBGQ,Malaysia,
BKO,GABS,Mali,
BKP,,Australia,Northern Territory
BKQ,YBCK,Australia,Queensland
BKS,WIPL,Indonesia,
BKU,,Madagascar,
BKZ,HTBU,Tanzania,
BLA,SVBC,Venezuela,
BLB,,Panama,
BLC,FKKG,Cameroon,
BLE,ESSD,Sweden,
BLG,WBGC,Malaysia,
BLK,EGNH,United Kingdom,Isle of Man
BLL,EKBI,Denmark,
BLN,YBLA,Australia,Victoria
BLO,BIBL,Iceland,
BLP,SPBL,Peru,
BLQ,LIPE,Italy,
BLR,VOBL,India,
BLS,YBLL,Australia,Queensland
BLT,YBTR,Australia,Queensland
BLX,,Italy,
BLY,EIBT,Ireland,
BLZ,FWCL,Malawi,
BMA,ESSB,Sweden,
BMD,FMML,Madagascar,
BME,YBRM,Australia,Northern Territory
BMF,FEGM,Central African Republic,
BMH,,Papua New Guinea,
BMJ,SYBR,Guyana,
BMK,,Germany,
BMM,FOOB,Gabon,
BMN,,Iraq,
BMP,YBPI,Australia,Queensland
BMQ,KBMQ,Kenya,
BMR,,Germany,
BMS,SNBU,Brazil,
BMU,WRRB,Indonesia,
BMY,NWWC,France,New Caledonia
BMZ,,Papua New Guinea,
BND,OIKB,Iran,
