codeIataAirport,County,Province/State,Country/Region,LatAirport,LongAirport
AVO,Hardee,Florida,US,27.6,-81.51667
AVP,Lackawanna,Pennsylvania,US,41.336697,-75.730644
AVV,,Victoria,Australia,-38.02637,144.47308
AVW,Pinal,Arizona,US,32.416668,-111.21667
AVX,Orange,California,US,33.341667,-118.31528
AWA,,,Ethiopia,7.061111,38.4875
AWB,,,Papua New Guinea,-8.016667,142.75
AWE,,,Gabon,-0.75,9.45
AWM,Crittenden,Arkansas,US,35.13333,-90.183334
AWN,,South Australia,Australia,-26.25,138.66667
AWP,,Northern Territory,Australia,-20.5,137.75
AWZ,,,Iran,31.34292,48.74668
AXA,,Anguilla,United Kingdom,18.216667,-63.066666
AXB,Jefferson,New York,US,44.2525,-75.90139
AXC,,Queensland,Australia,-22.958055,145.2425
AXD,,,Greece,40.856785,25.944893
AXE,,,Brazil,-26.883333,-52.38333
AXG,Kossuth,Iowa,US,43.066666,-94.23333
AXK,,,Yemen,13.866667,46.3
AXL,,Northern Territory,Australia,-19.083332,136.66667
AXM,,,Colombia,4.452869,-75.76804
AXN,Douglas,Minnesota,US,45.86722,-95.394165
AXP,,,Bahamas,22.45,-73.96667
AXR,,French Polynesia,France,-15.25,-146.75
AXS,Jackson,Oklahoma,US,34.696667,-99.33806
AXT,,,Japan,39.61177,140.22015
AXU,,,Ethiopia,14.120833,38.716667
AXV,Auglaize,Ohio,US,40.566666,-84.2
AXX,Taos,New Mexico,US,36.416668,-105.28333
AYA,,,Colombia,8.316667,-75.15
AYC,,,Colombia,8.6,-73.61667
AYD,,Northern Territory,Australia,-19.3,135.95
AYG,,,Colombia,1.533333,-73.933334
AYI,,,Colombia,-0.333333,-72.333336
AYK,,,Kazakhstan,50.316666,66.96667
AYL,,Northern Territory,Australia,-18.033333,135.53334
AYN,,Shanxi,China,36.1,114.35
AYO,,,Paraguay,-27.366667,-56.85
AYP,,,Peru,-13.197222,-74.24722
AYQ,,South Australia,Australia,-25.190878,130.97658
AYR,,Queensland,Australia,-19.596666,147.32445
AYS,Pierce,Georgia,US,31.248611,-82.39667
AYT,,,Turkey,36.89928,30.80135
AYU,,,Papua New Guinea,-6.333333,145.9
AYW,,,Indonesia,-1.2,132.5
AYY,,,Sri Lanka,6.855,81.8311
AZA,Pinal,Arizona,US,33.307777,-111.655556
AZB,,,Papua New Guinea,-10.15,148.81667
AZD,,,Iran,31.903603,54.283264
AZG,,,Mexico,19.068056,-102.352776
AZI,,,United Arab Emirates,24.419167,54.451668
AZL,,,Brazil,-13.47,-58.85
AZN,,,Uzbekistan,40.733334,72.3
AZO,Kalamazoo,Michigan,US,42.239964,-85.55656
AZP,,,Mexico,19.416668,-99.1
AZR,,,Algeria,27.883333,-0.283333
AZS,,,Dominican Republic,19.270555,-69.736946
AZT,,,Colombia,6.866667,-73.25
AZZ,,,Angola,-7.883333,13.15
BAA,,,Papua New Guinea,-5.316667,151.03334
BAB,Sutter,California,US,39.15,-121.583336
BAC,,,Colombia,4.583333,-72.96667
BAD,Bossier,Louisiana,US,32.5,-93.666664
